,Measure in Half Pans,,,,,,,Weight from Invoice,,Measure in Half Pans,,,,Measure in Half Pans,,,,Oil Change,,
Dates,EoD Sammy,EoD OG,EoD Grilled,EoD Tenders,Thawing Tenders,Boxed Tenders,,Delivery Dark,Delivery Tenders,Prepped Sammy,Prepped OG,Prepped Grilled,Prepped Tenders,Thrown Sammy,Thrown OG,Thrown Grilled,Thrown Tenders,Fries,Left Chicken,Right Chicken
"Mon, Jun 1",5,7.5,3,5.5,0,3,,,,,,,,,,,,,,
"Tue, Jun 2",3.25,6.25,1,6,2,1,,,,,,,,,,,,,,
"Wed, Jun 3",5,4.75,5,6.75,0,5,,,,,,,,,,,,,,
"Thu, Jun 4",,,,,2,3,,,,,,,,,,,,,,
"Fri, Jun 5",5.5,5.75,4.5,3,,,,,,2.25,1,,,,,,,,,
"Sat, Jun 6",8.25,5,3.5,4.5,,,,,,5,2,,3.5,,,,,,,
"Sun, Jun 7",,,,,,,,,,,,,3,,,,,,,
"Mon, Jun 8",5.75,3.5,5,5.25,2,5,,,,,,,,,,,,,,
"Tue, Jun 9",7,2.75,4,7.25,,,,,,,,,,,,,,,,
"Wed, Jun 10",9.25,3,2,9,,,,,,,,,,,,,,,,
"Thu, Jun 11",,,,,,,,,,,,,,,,,,,,
"Fri, Jun 12",5,1.5,4.5,6,,,,75,3,,,,,,,,,,,
"Sat, Jun 13",9.25,3.5,3,4,,,,,,7,3,,,,,,,,,
"Sun, Jun 14",7,2.25,2,2,2,4,,,,,,,,,,,,,,
"Mon, Jun 15",,,4.5,4,2,6,,,,,,,,,,,,,,
"Tue, Jun 16",5.5,2.25,3.25,9,0,6,,,,2,1,,4,,,,,,,
"Wed, Jun 17",4,1.15,3,7.15,0,6,,,,,,,,,,,,-,-,
"Thu, Jun 18",,,,,,,,,,,,,,,,,,,,X
"Fri, Jun 19",,,,,,,,,,,,,,,,,,,,
"Sat, Jun 20",,,,,,,,,,,,,,,,,,,,
"Sun, Jun 21",,,,,,,,,,,,,,,,,,,,
"Mon, Jun 22",,,,,,,,,,,,,,,,,,,,
"Tue, Jun 23",,,,,,,,,,,,,,,,,,,,
"Wed, Jun 24",,,,,,,,,,,,,,,,,,,,
"Thu, Jun 25",,,,,,,,,,,,,,,,,,-,,
"Fri, Jun 26",,,,,,,,,,,,,,,,,,,,
"Sat, Jun 27",,,,,,,,,,,,,,,,,,,,
"Sun, Jun 28",,,,,,,,,,,,,,,,,,,,
"Mon, Jun 29",,,,,,,,,,,,,,,,,,,,
"Tue, Jun 30",,,,,,,,,,,,,,,,,,,,